,smiles,error,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,regarded,disregarded,LE,outcome,percent_hybrid
0,[H]OC(=O)[C@]1([H])[C@]([H])(c2c([H])sc([H])c2[H])C([H])([H])C([H])([H])[C@]12ON([H])[C@]([H])(C([H])([H])[H])N2[H],,-67.41479661839406,27.564927203823657,94.97972382221772,0.7875037891020064,18.0,0.0,1.6368451118469238,"['7ga1-a', '8v7u-a']",[],3.74526647879967,acceptable,28.0
1,[H]c1sc(F)c2c1[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C(=O)/N=C(/N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])N2[H],,-74.04690435766258,366.63292323529896,440.67982759296154,0.997746590995001,23.0,0.0,1.4948019981384277,"['7ga1-a', '7g9m-a']",[],3.219430624246199,acceptable,44.0
2,,DistanceError 7.35 Å,,,,,,,,[],[],,too distant,
3,[H]OC(=O)[C@@]1([H])[C@@]([H])(C(=O)OC([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])c1c([H])sc([H])c1[H],,-47.22128565840664,72.98586405565423,120.20714971406088,0.47485914883321123,17.0,0.0,0.805889368057251,"['7ga1-a', '7g9t-a']",[],2.777722685788626,acceptable,24.0
4,[H]OC(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])[C@@]1([H])C([H])([H])S[C@@]2(C([H])([H])C([H])([H])[C@]([H])(OC([H])([H])[H])[C@]([H])(N([H])C(=O)C([H])([H])N([H])[H])C2([H])[H])C1([H])[H],,-21.76193237996125,452.1334709507703,473.89540333073154,1.0983432237999793,25.0,0.0,3.796532154083252,"['7ga1-a', '5rhg-a']",[],0.8704772951984501,too moved,48.0
5,[H]OC(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])c1c([H])sc(S(=O)(=O)C([H])([H])[H])c1C(=O)OC([H])([H])[H],,-51.975605629758036,323.15716351650434,375.1327691462624,1.2340033988048333,21.0,0.0,1.9131450653076172,"['7ga1-a', '7ga2-a']",[],2.4750288395122872,too moved,39.0
6,,DistanceError 8.08 Å,,,,,,,,[],[],,too distant,
7,[H]OC(=O)[C@]1([H])[C@]([H])(c2c([H])sc([H])c2[H])C([H])([H])C([H])([H])[C@@]1([H])N([H])N(c1c([H])c([H])c(C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)N([H])C(=O)N2[H])c([H])c1[H])C([H])([H])[H],,,,,0.0,31.0,1.0,3.0718026161193848,"['7ga1-a', '8v7r-b']",[],,crashed,42.0
8,[H]OC(=O)[C@@]1([H])C([H])([H])[C@]2([H])C3=C(C([H])([H])N([H])C2([H])[H])C([H])([H])N([H])[C@@]([H])(C([H])([H])C([H])([H])[H])[C@]2(C([H])([H])SC([H])([H])C2([H])[H])[C@]31[H],,-88.46106006532904,336.25827153856994,424.719331603899,0.8805007872331808,22.0,0.0,2.6917777061462402,"['7ga1-a', '7g9y-a']",[],4.020957275696774,acceptable,41.0
9,[H]OC(=O)[C@@]1([H])C([H])([H])[C@@]([H])(N([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])C(F)(F)F)C([H])([H])C2([H])[H])C([H])([H])[C@@]1([H])c1c([H])sc([H])c1[H],,,,,0.0,26.0,3.0,2.748350143432617,"['7ga1-a', '7g9k-a']",[],,crashed,50.0
10,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
11,[H]N(C(=O)C([H])([H])[C@@]1([H])[C@]([H])(F)C([H])([H])C([H])([H])[C@@]1([H])N([H])C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])c1nc(C([H])([H])[H])no1,,12.442609445691033,173.8325852424115,161.38997579672048,0.9881437048854935,26.0,0.0,5.930081367492676,"['8v7u-a', '7g9m-a']",[],-0.4785619017573474,too contorted,43.0
12,,DistanceError 6.80 Å,,,,,,,,[],[],,too distant,
13,[H]ON1C(N([H])C(=O)C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])ONC1C([H])([H])[H],,-17.464044940319354,503.7000802929099,521.1641252332292,0.5146161635722081,16.0,0.0,1.3101425170898438,"['8v7u-a', '7g9t-a']",[],1.0915028087699596,acceptable,7.0
14,[H]N(C(=O)C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(N(C(=O)C([H])([H])N([H])[H])C([H])([H])OC([H])([H])[H])C1([H])[H])c1nc(C([H])([H])[H])no1,,23.453661954695917,633.4544227461149,610.000760791419,0.9701393484962822,22.0,1.0,10.518671035766602,"['8v7u-a', '5rhg-a']",[],-1.019724432812866,too contorted,32.0
