smiles,hit0,hit1
[H]OC(=O)[C@]1([H])[C@]([H])(c2c([H])sc([H])c2[H])C([H])([H])C([H])([H])[C@]12ON([H])[C@]([H])(C([H])([H])[H])N2[H],7ga1-a,8v7u-a
[H]c1sc(F)c2c1[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C(=O)/N=C(/N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])N2[H],7ga1-a,7g9m-a
[H]OC(=O)[C@@]1([H])[C@@]([H])(C(=O)OC([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])c1c([H])sc([H])c1[H],7ga1-a,7g9t-a
[H]OC(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])[C@@]1([H])C([H])([H])S[C@@]2(C([H])([H])C([H])([H])[C@]([H])(OC([H])([H])[H])[C@]([H])(N([H])C(=O)C([H])([H])N([H])[H])C2([H])[H])C1([H])[H],7ga1-a,5rhg-a
[H]OC(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])c1c([H])sc(S(=O)(=O)C([H])([H])[H])c1C(=O)OC([H])([H])[H],7ga1-a,7ga2-a
[H]OC(=O)[C@]1([H])[C@]([H])(c2c([H])sc([H])c2[H])C([H])([H])C([H])([H])[C@@]1([H])N([H])N(c1c([H])c([H])c(C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)N([H])C(=O)N2[H])c([H])c1[H])C([H])([H])[H],7ga1-a,8v7r-b
[H]OC(=O)[C@@]1([H])C([H])([H])[C@]2([H])C3=C(C([H])([H])N([H])C2([H])[H])C([H])([H])N([H])[C@@]([H])(C([H])([H])C([H])([H])[H])[C@]2(C([H])([H])SC([H])([H])C2([H])[H])[C@]31[H],7ga1-a,7g9y-a
[H]OC(=O)[C@@]1([H])C([H])([H])[C@@]([H])(N([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])C(F)(F)F)C([H])([H])C2([H])[H])C([H])([H])[C@@]1([H])c1c([H])sc([H])c1[H],7ga1-a,7g9k-a
[H]N(C(=O)C([H])([H])[C@@]1([H])[C@]([H])(F)C([H])([H])C([H])([H])[C@@]1([H])N([H])C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])c1nc(C([H])([H])[H])no1,8v7u-a,7g9m-a
[H]ON1C(N([H])C(=O)C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])ONC1C([H])([H])[H],8v7u-a,7g9t-a
[H]N(C(=O)C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(N(C(=O)C([H])([H])N([H])[H])C([H])([H])OC([H])([H])[H])C1([H])[H])c1nc(C([H])([H])[H])no1,8v7u-a,5rhg-a
