smiles,0,1
CCC(CNC(=O)CN1CCCC1)NC(=O)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
COC1(C(=O)NC(C(=O)N2CCCC2)C(C)C)CS(=O)(=O)C1,7ga3-a,7ga2-a
CCCN(CCN1CCCC1)C(=O)NCC1CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(CNC(=O)C1CCS1(=O)=O)NC(=O)C(C)(C)N1CCCC1,7ga3-a,7ga2-a
CN(C(C)(C)CN1CCCC1)S(=O)(=O)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
O=S1(=O)CC(C2CN(S(=O)(=O)N3CCCC3)C2)C1,7ga3-a,7ga2-a
CC(CNC(=O)CCCN1CCCC1)NC(=O)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
CCC(CNC(=O)CN1CCCC1)NC(=O)CC1CS(=O)(=O)C1,7ga3-a,7ga2-a
O=S1(=O)CCC1CNS(=O)(=O)N1CCCC1,7ga3-a,7ga2-a
O=C(NCC(CN1CCCC1)C1CC1)C1CCS1(=O)=O,7ga3-a,7ga2-a
CC(C)C(C(=O)NCC1CS(=O)(=O)C1)N1CCCC1,7ga3-a,7ga2-a
O=S1(=O)CC(CCN2CCCC2)C1,7ga3-a,7ga2-a
CN(Cc1ccc(N2CCCC2)cc1)C(=O)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
O=S1(=O)CC(NN2CCCC2)C1,7ga3-a,7ga2-a
NC1(CC(=O)NCC(=O)N2CCCC2)CS(=O)(=O)C1,7ga3-a,7ga2-a
NC1(CC(=O)NS(=O)(=O)N2CCCC2)CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(CCNC(=O)CN1CCCC1)NC(=O)CC1CS(=O)(=O)C1,7ga3-a,7ga2-a
COC1(C(=O)OC(C)CN2CCCC2)CS(=O)(=O)C1,7ga3-a,7ga2-a
NC(C(=O)N1CCCC(N2CCCC2)C1)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
CN(CC(=O)N1CCCC1)C(=O)CC1CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(NC(=O)NCCCCN1CCCC1)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
O=C(Nc1ccc(N2CCCC2)nc1)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
N=C(NC1CS(=O)(=O)C1)N1CCCC1,7ga3-a,7ga2-a
CC(CNC(=O)CC1CS(=O)(=O)C1)N(C)C(=O)CN1CCCC1,7ga3-a,7ga2-a
CC(CNC(=O)CN1CCCC1)N(C)C(=O)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(C)(CNC(=O)C(N)C1CS(=O)(=O)C1)CN1CCCC1,7ga3-a,7ga2-a
O=C(NCCC(c1ccccc1)N1CCCC1)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
CCC(CNC(=O)CC1CS(=O)(=O)C1)NC(=O)CN1CCCC1,7ga3-a,7ga2-a
CC(CN1CCCC1)NC1CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(CNC(=O)CC1CS(=O)(=O)C1)NC(=O)CN1CCCC1,7ga3-a,7ga2-a
CC(CCNC(=O)CN1CCCC1)NC(=O)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
O=C(O)C1(N2CCCC2)CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(CN1CCCC1)NC(=O)C(=O)NCC1CCS1(=O)=O,7ga3-a,7ga2-a
CC(CNC(=O)CN1CCCC1)NC(=O)CC1CS(=O)(=O)C1,7ga3-a,7ga2-a
O=C(NCCN1CCCC1)C1CCS1(=O)=O,7ga3-a,7ga2-a
O=C(NCC(c1ccsc1)N1CCCC1)C1CCS1(=O)=O,7ga3-a,7ga2-a
CC(C)CC(CN1CCCC1)NC(=O)C(N)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(CNC(=O)C1CS(=O)(=O)C1)NC(=O)CN1CCCC1,7ga3-a,7ga2-a
CC(CNC(=O)C1CS(=O)(=O)C1)NC(=O)CC1(N2CCCC2)CC1,7ga3-a,7ga2-a
O=S1(=O)CC(CNCCN2CCCC2)C1,7ga3-a,7ga2-a
O=S1(=O)CC(CN(CCN2CCCC2)C2CCCCCCC2)C1,7ga3-a,7ga2-a
CCC(CN1CCCC1)NC(=O)NCC1CCS1(=O)=O,7ga3-a,7ga2-a
CN(CC(=O)N1CCCC1)C(=O)NCC1CS(=O)(=O)C1,7ga3-a,7ga2-a
O=C(NCC1(N2CCCC2)CCOCC1)C1CCS1(=O)=O,7ga3-a,7ga2-a
O=S1(=O)CC(S(=O)(=O)Oc2cccc(N3CCCC3)c2)C1,7ga3-a,7ga2-a
NC(CC1CS(=O)(=O)C1)CN1CCCC1,7ga3-a,7ga2-a
CC(CN(C)C(=O)CN1CCCC1)NC(=O)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
O=C(NCCCN1CCCC1)NCCC1CS(=O)(=O)C1,7ga3-a,7ga2-a
CC1(CNC(=O)CNC(=O)N2CCCC2)CS(=O)(=O)C1,7ga3-a,7ga2-a
O=C(NC1CS(=O)(=O)C1)N1CCCC1,7ga3-a,7ga2-a
O=C(NC1CS(=O)(=O)C1)c1ccnc(N2CCCC2)n1,7ga3-a,7ga2-a
O=S1(=O)CC(CN2CCCC2)C1,7ga3-a,7ga2-a
CC1(CS(=O)(=O)NCCCN2CCCC2)CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(OC(=O)C1(C)CS(=O)(=O)C1)C(=O)N1CCCC1,7ga3-a,7ga2-a
CC1(CN2CCCC2)CS(=O)(=O)C1,7ga3-a,7ga2-a
CC1(CNC(=O)CNC(=O)N2CCCC2)CS(=O)(=O)C1,7ga3-a,7ga2-a
CC1(C(=O)N2CCCC2)CS(=O)(=O)C1,7ga3-a,7ga2-a
CC1(CNC(=O)NCCCCCN2CCCC2)CS(=O)(=O)C1,7ga3-a,7ga2-a
CC1(CN2CCCC2)CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(CN1CCCC1)NS(=O)(=O)CC1(C)CS(=O)(=O)C1,7ga3-a,7ga2-a
CN(CCN1CCCC1)C(=O)NCC1(C)CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(COCC(=O)NC1(C)CS(=O)(=O)C1)N1CCCC1,7ga3-a,7ga2-a
CC1(CNN2CCCC2)CS(=O)(=O)C1,7ga3-a,7ga2-a
O=S1(=O)CC(CN2CCC(N3CCCC3)CC2)C1,7ga3-a,7ga2-a
CC(CS(=O)(=O)N1CCCC1)OC(=O)C1(C)CS(=O)(=O)C1,7ga3-a,7ga2-a
O=S1(=O)CC(CC(O)CN2CCCC2)C1,7ga3-a,7ga2-a
O=C(CN1CCN(C2CS(=O)(=O)C2)CC1)N1CCCC1,7ga3-a,7ga2-a
CC(CN1CCCC1)NS(=O)(=O)CC1(C)CS(=O)(=O)C1,7ga3-a,7ga2-a
COC(=O)C1(N2CCCC2)CS(=O)(=O)C1,7ga3-a,7ga2-a
O=C(C1CCS1(=O)=O)N1CCCC1,7ga3-a,7ga2-a
O=C(CC1CCN(C2CS(=O)(=O)C2)CC1)N1CCCC1,7ga3-a,7ga2-a
O=C(CN1CCN(C2CS(=O)(=O)C2)CC1)N1CCCC1,7ga3-a,7ga2-a
CCN(CCNC(=O)C(C)(C)N1CCCC1)C(=O)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
NC1(CC(=O)NS(=O)(=O)N2CCCC2)CS(=O)(=O)C1,7ga3-a,7ga2-a
NCC(C1CS(=O)(=O)C1)N1CCCC1,7ga3-a,7ga2-a
O=C(CN1CCCC1)NC(CO)CNC(=O)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(CNC(=O)C(=O)NCCC1CS(=O)(=O)C1)CN1CCCC1,7ga3-a,7ga2-a
CC(COCC(=O)NC1(C)CS(=O)(=O)C1)N1CCCC1,7ga3-a,7ga2-a
CCN(CCCN1CCCC1)C(=O)C1(OC)CS(=O)(=O)C1,7ga3-a,7ga2-a
O=C(NCC1CS(=O)(=O)C1)NCC(CN1CCCC1)C1CC1,7ga3-a,7ga2-a
O=C(CC1(N2CCCC2)CC1)NCC1CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(CNC(=O)C1CS(=O)(=O)C1)NC(=O)CC1(N2CCCC2)CC1,7ga3-a,7ga2-a
O=C(NCCN(C(=O)CN1CCCC1)C1CC1)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
O=C(NCC(CN1CCCC1)C1CC1)C1CCS1(=O)=O,7ga3-a,7ga2-a
O=C(NCC(CN1CCCC1)C1CC1)NCC1CCS1(=O)=O,7ga3-a,7ga2-a
O=C(CN1CCCC1)NCC(NC(=O)C1CS(=O)(=O)C1)C1CC1,7ga3-a,7ga2-a
O=S1(=O)CC(S(=O)(=O)Nc2cccc(N3CCCC3)c2)C1,7ga3-a,7ga2-a
O=S1(=O)CC(S(=O)(=O)Nc2ccc(N3CCCC3)nc2)C1,7ga3-a,7ga2-a
O=S1(=O)CC(CCO)(NS(=O)(=O)CCCN2CCCC2)C1,7ga3-a,7ga2-a
O=C(C=CCN1CCCC1)NC1(CCO)CS(=O)(=O)C1,7ga3-a,7ga2-a
O=C(CNC(=O)N1CCCC1)NC1(CCO)CS(=O)(=O)C1,7ga3-a,7ga2-a
O=S1(=O)CC(CCOc2ccc(N3CCCC3)cc2)C1,7ga3-a,7ga2-a
O=C(NCc1ccc(N2CCCC2)cn1)NCC1CCS1(=O)=O,7ga3-a,7ga2-a
CCC(C)C(NC(=O)N1CCCC1)C(=O)NCC1CCS1(=O)=O,7ga3-a,7ga2-a
CC(CN1CCCC1)NC(=O)NC(C)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
O=C(NCCC1CS(=O)(=O)C1)NCc1ccc(N2CCCC2)cc1,7ga3-a,7ga2-a
O=S1(=O)CC(S(=O)(=O)NCc2nnc(N3CCCC3)o2)C1,7ga3-a,7ga2-a
NC(C(=O)Nc1cccc(N2CCCC2)c1)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
O=C(CN1CCCC1)NCCN(CCO)C(=O)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(OC(=O)C1(C)CS(=O)(=O)C1)C(=O)N1CCCC1,7ga3-a,7ga2-a
O=S1(=O)CCC1C1CCCN1,7ga3-a,7ga2-a
O=S1(=O)CC(C2CCCN2)C1,7ga3-a,7ga2-a
O=S1(=O)CC(CCC2CCCN2)C1,7ga3-a,7ga2-a
CC1(CCC2CCCN2)CS(=O)(=O)C1,7ga3-a,7ga2-a
CN(CC1CCCN1)C(=O)C1CS(=O)(=O)C1,7ga3-a,7ga2-a
CN(CC1CCCN1)C(=O)C1(C)CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(O)(C1CS(=O)(=O)C1)C1CCCN1,7ga3-a,7ga2-a
CC(O)(C1CCCN1)C1(C#N)CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(F)(CC1CS(=O)(=O)C1)C1CCCN1,7ga3-a,7ga2-a
NC1(CC(=O)NCC2CCCN2)CS(=O)(=O)C1,7ga3-a,7ga2-a
CC(=CC1CS(=O)(=O)C1)C1CCCN1,7ga3-a,7ga2-a
